OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
1,Relleno Sanitario (26SO2018MD079),Permiso,Depósito o disposición de material,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2018,2024,4.039,Hectáreas
2,Exploración minera Directa “Las Cuarentas II” (26SO2016MD068),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Recursos Millrock S. de R.L. de C.V.,2016,2024,42113.905,Hectáreas
3,Planta Concentradora “Buenavista Del Zinc” (26SO2018MD032),Permiso,Explotación minera (instalaciones),Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2018,2024,43.352,Hectáreas
4,Esde II (26SO2016MD052),Permiso,Explotación minera (instalaciones),Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2016,2024,23.001,Hectáreas
5,Quebalix III (26SO2011MD036),Permiso,Explotación minera (instalaciones),Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2011,2024,4.209,Hectáreas
6,Instalaciones De Apoyo (26SO2014MD049),Permiso,Infraestructura minera,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2014,2024,842.722,Hectáreas
7,Exploración minera Directa “Santa Gertrudis” (26SO2018MD013),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Coanzamex Servicios S.A. de C.V.,2018,2024,4056.5,Hectáreas
8,Ampliación De Terreros De Lixiviación Tinajas (26SO2016MD109),Permiso,Depósito o disposición de material,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2016,2024,83.518,Hectáreas
9,Infraestructura Del Área De Talleres Y Servicios (26SO2012MD091),Permiso,Infraestructura minera,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2012,2024,106.07,Hectáreas
10,Exploración minera Directa “Thor” (26SO2016MD014),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Riverside Resources Mexico S.A. de C.V.,2016,2024,6724.05,Hectáreas
11,Nueva Presa De Jales “Buenavista Del Cobre” (26SO2013MD082),Permiso,Explotación minera (instalaciones),Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2013,2024,6539.543,Hectáreas
12,Apilador Para Quebalix IV (26SO2014MD140),Permiso,Depósito o disposición de material,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2014,2024,30.6,Hectáreas
13,Corredor Industrial Y Área De Servicio (26SO2014MD132),Permiso,Infraestructura minera,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2014,2024,381.721,Hectáreas
14,Terreros Quebalix III (26SO2012MD031),Permiso,Explotación minera (instalaciones),Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2012,2024,111.949,Hectáreas
15,Construcción De Presa De Jales No.3 (26SO2008HD030),Permiso,Explotación minera (instalaciones),Secretaría de Medio Ambiente y Recursos Naturales,Minera María S.A. de C.V. ,2008,2024,4950.836,Hectáreas
16,Pista De Aterrizaje (26MP03860317),Permiso,Infraestructura minera,Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2019,2024,276.089,Hectáreas
17,Exploración minera Directa “Las Cuarentas” (26SO2012MD085),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Paget Southern Resources S. de R.L. de C.V.,2012,2024,17665.29,Hectáreas
18,Proyecto Minero “Santa Elena” (26SO2008MD047),Permiso,Explotación minera (instalaciones),Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2008,2024,2.799,Hectáreas
19,Línea De Transmisión Eléctrica (26SO2013ED090),Permiso,Infraestructura minera,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2013,2024,15.305,Hectáreas
20,Exploración minera Directa “Ampliación Extensión Este De Veta Santa Elena” (26SO2015MD033),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2015,2024,3.092,Hectáreas
21,Áreas De Servicio Para Los Terreros De Lixiviación Tinajas (26SO2013MD032),Permiso,Infraestructura minera,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2013,2024,80.057,Hectáreas
22,Área Para Disposición Temporal De Suelo (26SO2015MD010),Permiso,Depósito o disposición de material,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2015,2024,0.969,Hectáreas
23,Concentradora De Cobre II (26SO2011MD087),Permiso,Explotación minera (instalaciones),Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2011,2024,671.153,Hectáreas
24,Terreros De Lixiviación Tinajas (26SO2012MD070),Permiso,Explotación minera (instalaciones),Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2012,2024,866.203,Hectáreas
25,Planta De Molibdeno Nueva (26SO2011MD065),Permiso,Explotación minera (instalaciones),Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2011,2024,3.092,Hectáreas
26,Obras De Infraestructura De Comunicación Interna (26SO2013UD132),Permiso,Infraestructura minera,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2013,2024,29.541,Hectáreas
27,Terminal De Transferencia De Carga (26SO2015MD008),Permiso,Infraestructura minera,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2015,2024,65.928,Hectáreas
28,Exploración minera Directa “Batamote” (26SO2017MD160),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Recursos Millrock S. de R.L. de C.V.,2017,2024,7779.614,Hectáreas
29,Tepetatera Tinajas (26SO2012MD059),Permiso,Explotación minera (instalaciones),Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2012,2024,832.968,Hectáreas
30,Terreros De Lixiviación Quebalix IV (26SO2015MD022),Permiso,Explotación minera (instalaciones),Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2015,2024,2011.491,Hectáreas
31,Nuevo Sistema Abastecimiento De Agua (26SO2013UD133),Permiso,Infraestructura minera,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2013,2024,151.808,Hectáreas
32,Sector Norte De La Primera Etapa De Zonas De Vivienda (26SO2013MD033),Permiso,Infraestructura minera,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2013,2024,13.576,Hectáreas
33,Expansión Mina “Santa Elena” (26SO2013MD011),Permiso,Explotación minera (instalaciones),Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2013,2024,170.582,Hectáreas
34,Banco De Préstamo De Arcilla y Conglomerado (26SO2013MD112),Permiso,Depósito o disposición de material,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2013,2024,130.573,Hectáreas
35,Exploración minera Directa “San Judas” (26SO2017MD060),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2017,2024,321.627,Hectáreas
36,Exploración minera Directa “El Durazno” (26SO2014MD093),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2014,2024,5.455,Hectáreas
37,Exploración minera Directa “El Ermitaño Este” (26SO2014MD055),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2014,2024,66.342,Hectáreas
38,Exploración minera Directa “El Ermitaño Oeste III” (26SO2019MD002),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2019,2024,191.735,Hectáreas
39,Exploración minera Directa “Buenavista De Zinc” (26SO2013MD055),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2013,2024,352.175,Hectáreas
40,Exploración minera Directa “El Alacrán” (26SO2017MD113),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Minera Teck S.A de C.V.,2017,2024,787.819,Hectáreas
41,Exploración minera Directa “El Verde Norte II” (26SO2013MD079),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Minera María S.A. de C.V. ,2013,2024,676.435,Hectáreas
