NOMBRE,TIPO_ENTIDAD,RELACIONADO_CON,TIPO_RELACION
American Copper Mining,empresa,,
Adit Resources Corp,empresa,American Copper Mining,parent
Compañia Minera Zapata,empresa,,
Almaden Minerals LTD,empresa,Compañia Minera Zapata,parent
AE Wealth Management LLC,empresa,Almaden Minerals LTD,shareholder
Alfredo Phillips ,persona,Almaden Minerals LTD,shareholder
Arbor Point Advisors LLC,empresa,Almaden Minerals LTD,shareholder
Bank of America Corp,empresa,Almaden Minerals LTD,shareholder
Barclays Bank PLC,empresa,Almaden Minerals LTD,shareholder
BNP Paribas Arbitrage SNC,empresa,Almaden Minerals LTD,shareholder
Cambridge Investment Research Advisors Inc,empresa,Almaden Minerals LTD,shareholder
Capital Analysts LLC,empresa,Almaden Minerals LTD,shareholder
Cary Street Partners Investment Advisory LLC,empresa,Almaden Minerals LTD,shareholder
Cerity Partners LLC,empresa,Almaden Minerals LTD,shareholder
Citadel Advisors LLC,empresa,Almaden Minerals LTD,shareholder
Commonwealth Equity Services LLC,empresa,Almaden Minerals LTD,shareholder
Dimensional Fund Advisors LP,empresa,Almaden Minerals LTD,shareholder
Douglas John McDonald,persona,Almaden Minerals LTD,shareholder
Elaine Ellingham,persona,Almaden Minerals LTD,shareholder
Group One Trading LP,empresa,Almaden Minerals LTD,shareholder
Hamilton Capital LLC,empresa,Almaden Minerals LTD,shareholder
James Duane Poliquin,persona,Almaden Minerals LTD,shareholder
Kevin O&Kane ,persona,Almaden Minerals LTD,shareholder
Kohima Pacific Gold Corp,empresa,Almaden Minerals LTD,shareholder
Konwave Ag,empresa,Almaden Minerals LTD,shareholder
Korm Trieu,persona,Almaden Minerals LTD,shareholder
Lincoln Financial Investments Corp,empresa,Almaden Minerals LTD,shareholder
Merrill Lynch Pierce Fenner & Smith Inc,empresa,Almaden Minerals LTD,shareholder
Millennium Management LLC,empresa,Almaden Minerals LTD,shareholder
Morgan James Poliquin,persona,Almaden Minerals LTD,shareholder
Morgan Stanley,empresa,Almaden Minerals LTD,shareholder
Rathbones Investment Management Ltd,empresa,Almaden Minerals LTD,shareholder
RBC Dominion Securities Inc,empresa,Almaden Minerals LTD,shareholder
Renaissance Technologies LLC,empresa,Almaden Minerals LTD,shareholder
Ria Fitzgerald ,persona,Almaden Minerals LTD,shareholder
Safeguard Investment Advisory Group LLC,empresa,Almaden Minerals LTD,shareholder
Sprott Asset Management LP,empresa,Almaden Minerals LTD,shareholder
Susquehanna International Group LLP,empresa,Almaden Minerals LTD,shareholder
The Huntington Trust Company NA,empresa,Almaden Minerals LTD,shareholder
Total Wealth Planning LLC,empresa,Almaden Minerals LTD,shareholder
Two Sigma Securities LLC,empresa,Almaden Minerals LTD,shareholder
UBS Asset Management AG,empresa,Almaden Minerals LTD,shareholder
Compañia Minera La Pitahaya,empresa,,
Minas de Argonautas S de RL de CV,empresa,,
Argonaut Gold Inc,empresa,Compañia Minera La Pitahaya,parent
Argonaut Gold Inc,empresa,Minas de Argonautas S de RL de CV,parent
Minera Piedra Azul SA de CV,empresa,,
Compañia Minera La Platina SA,empresa,,
Tungsteno de Baviacora,empresa,,
Continental Ore Corporation,empresa,Tungsteno de Baviacora,parent
Desarrollos Aribabi,empresa,,
Minera Auricup S de RL de CV,empresa,,
Silver Lake Resources Limited,empresa,Egan Street Resources Limited ,parent
Egan Street Resources Limited ,empresa,Minera Auricup S de RL de CV,parent
Bny Asset Management,empresa,Silver Lake Resources Limited,shareholder
Van Eck Associates Corp,empresa,Silver Lake Resources Limited,shareholder
Vanguard Group Inc,empresa,Silver Lake Resources Limited,shareholder
Blackrock Inc,empresa,Silver Lake Resources Limited,shareholder
Paradice Investment Management Pty Ltd,empresa,Silver Lake Resources Limited,shareholder
UBS Asset Management AG,empresa,Silver Lake Resources Limited,shareholder
State Street Global Advisors Inc,empresa,Silver Lake Resources Limited,shareholder
Invesco Ltd,empresa,Silver Lake Resources Limited,shareholder
Dimensional Fund Advisors LP,empresa,Silver Lake Resources Limited,shareholder
Ruffer LLP,empresa,Silver Lake Resources Limited,shareholder
Minera Evrim SA de CV,empresa,,
Minera Inmet Mexico SA de CV,empresa,,
Orogen Royalties Inc,empresa,Minera Evrim SA de CV,parent
Minera Evrim SA de CV,empresa,Minera Inmet Mexico SA de CV,parent
Altius Minerals Corp,empresa,Orogen Royalties Inc,shareholder
Sprott Inc,empresa,Orogen Royalties Inc,shareholder
Euro Pacific Asset Management Llc,empresa,Orogen Royalties Inc,shareholder
Roland W Butler Jr,persona,Orogen Royalties Inc,shareholder
Marco Locascio,persona,Orogen Royalties Inc,shareholder
John Patrick Nicol,persona,Orogen Royalties Inc,shareholder
Minera Los Amoles SA de CV,empresa,,
Nusantara de Mexico SA de CV,empresa,,
First Majestic Silver Corp,empresa,Minera Los Amoles SA de CV,parent
First Majestic Silver Corp,empresa,Corporación First Majestic SA de CV,parent
Corporación First Majestic SA de CV,empresa,Nusantara de Mexico SA de CV,parent
Van Eck Associates Corp,empresa,First Majestic Silver Corp,shareholder
Vanguard Group Inc,empresa,First Majestic Silver Corp,shareholder
Global X Management Co Llc,empresa,First Majestic Silver Corp,shareholder
Mirae Asset Global Investments Co Ltd,empresa,First Majestic Silver Corp,shareholder
Keith N Neumeyer,persona,First Majestic Silver Corp,shareholder
Dimensional Fund Advisors LP,empresa,First Majestic Silver Corp,shareholder
Minera Teloro,empresa,,
Compañia Minera Framor,empresa,,
Framor Solar Plant 2,empresa,Minera Teloro,parent
Framor Solar Plant 2,empresa,Compañia Minera Framor,parent
Minera Gateway,empresa,,
Gateway Mining,empresa,Minera Gateway,parent
Minera Alta Vista,empresa,,
Global UAV Technologies Ltd,empresa,Minera Alta Vista,parent
Recursos Escondidos SA de CV,empresa,,
Coanzamex Servicios SA de CV,empresa,,
Gogold Resources Inc,empresa,Recursos Escondidos SA de CV,parent
Gogold Resources Inc,empresa,Absolute Gold Holdings Incorporated,parent
Absolute Gold Holdings Incorporated,empresa,Coanzamex Servicios SA de CV,parent
Bradley H Langille,persona,Gogold Resources Inc,shareholder
Franklin Resources Inc,empresa,Gogold Resources Inc,shareholder
Van Eck Associates Corp,empresa,Gogold Resources Inc,shareholder
Sprott Inc,empresa,Gogold Resources Inc,shareholder
Global X Management Co Llc,empresa,Gogold Resources Inc,shareholder
Anis Zafer Nehme,persona,Gogold Resources Inc,shareholder
Ninepoint Partners Lp,empresa,Gogold Resources Inc,shareholder
Fmr Llc,empresa,Gogold Resources Inc,shareholder
Minas De Oroco Resources,empresa,,
Goldgroup Mining Inc,empresa,Minas De Oroco Resources,parent
Grupo Bareyo SA de CV,empresa,,
Pedro Antonio Goya Espina,persona,Grupo Bareyo SA de CV,shareholder
Eliseo Goya Espina,persona,Grupo Bareyo SA de CV,shareholder
Grupo Martinez Baltierrez,empresa,,
Buenavista del Cobre SA de CV,empresa,,
Southern Copper Corporation ,empresa,Buenavista del Cobre SA de CV,parent
Grupo Mexico SAB de CV,empresa,Southern Copper Corporation,parent
Empresarios Industriales De México SA De CV,empresa,Grupo Mexico SAB de CV,shareholder
German Larrea Mota-Velasco,persona,Grupo Mexico SAB de CV,shareholder
Invesco Ltd,empresa,Grupo Mexico SAB de CV,shareholder
Capital Research And Management Co,empresa,Grupo Mexico SAB de CV,shareholder
Blackrock Inc,empresa,Grupo Mexico SAB de CV,shareholder
Vanguard Group Inc,empresa,Grupo Mexico SAB de CV,shareholder
Minera Hochschild Mexico SA de CV,empresa,,
Hochschild Mining Plc,empresa,Minera Hochschild Mexico SA de CV,parent
Eduardo Hochschild Beeck,persona,Hochschild Mining Plc,shareholder
Blackrock Inc,empresa,Hochschild Mining Plc,shareholder
Van Eck Associates Corp,empresa,Hochschild Mining Plc,shareholder
Schroder Investment Management Ltd,empresa,Hochschild Mining Plc,shareholder
Vanguard Group Inc,empresa,Hochschild Mining Plc,shareholder
Barclays Bank Plc,empresa,Hochschild Mining Plc,shareholder
Konwave Ag,empresa,Hochschild Mining Plc,shareholder
Ruffer LLP,empresa,Hochschild Mining Plc,shareholder
Legal & General Investment Management Ltd,empresa,Hochschild Mining Plc,shareholder
Dimensional Fund Advisors LP,empresa,Hochschild Mining Plc,shareholder
Imr Metallurgical Resources Mexico,empresa,,
Imr Metallurgical Resources Ag,empresa,Imr Metallurgical Resources Mexico,parent
Compañia Fresnillo SA de CV,empresa,,
Exploraciones Mineras Parreña SA de CV,empresa,,
Minas Peñoles SA de CV,empresa,,
Minera Bismark SA de CV,empresa,,
Minera Pecobre SA de CV,empresa,,
Desarrollos Mineros El Aguila,empresa,,
Flobarco,empresa,,
Industrias Peñoles SAB de CV,empresa,Compañia Fresnillo SA de CV,parent
Industrias Peñoles SAB de CV,empresa,Exploraciones Mineras Parreña SA de CV,parent
Industrias Peñoles SAB de CV,empresa,Minas Peñoles SA de CV,parent
Industrias Peñoles SAB de CV,empresa,Minera Bismark SA de CV,parent
Industrias Peñoles SAB de CV,empresa,Minera Pecobre SA de CV,parent
Industrias Peñoles SAB de CV,empresa,Desarrollos Mineros El Aguila,parent
Industrias Peñoles SAB de CV,empresa,Flobarco,parent
Albacor SA De CV,empresa,Industrias Peñoles SAB de CV,shareholder
Alejandro Bailleres Gual,persona,Industrias Peñoles SAB de CV,shareholder
Blackrock Inc,empresa,Industrias Peñoles SAB de CV,shareholder
First Eagle Investment Management Llc,empresa,Industrias Peñoles SAB de CV,shareholder
Van Eck Associates Corp,empresa,Industrias Peñoles SAB de CV,shareholder
Vanguard Group Inc,empresa,Industrias Peñoles SAB de CV,shareholder
Mirae Asset Global Investments Co Ltd,empresa,Industrias Peñoles SAB de CV,shareholder
Dimensional Fund Advisors LP,empresa,Industrias Peñoles SAB de CV,shareholder
T Rowe Price Group Inc,empresa,Industrias Peñoles SAB de CV,shareholder
Geode Capital Management Llc,empresa,Industrias Peñoles SAB de CV,shareholder
Minera Tlali SAPI de CV,empresa,,
Minera Cascabel SA de CV ,empresa,,
Minera Tlali SAPI de CV,empresa,International Mineral Development & Exploration Inc ,parent
International Mineral Development & Exploration Inc ,empresa,Minera Cascabel SA de CV ,parent
Minera Teck SA de CV,empresa,Minera Tlali SAPI de CV,shareholder
Minera Piedra Azul SA de CV,empresa,Minera Tlali SAPI de CV,shareholder
Minera Mexital SA de CV,empresa,,
Mex Ital,empresa,Minera Mexital SA de CV,parent
Compañia Minera Mexivada,empresa,,
Mexivada Mining Corp,empresa,Compañia Minera Mexivada,parent
